# th1, dth1, tau1_cmd, tau1, th2, dth2, tau2_cmd, tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.334389626979827881e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.079000383615493774e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.141108989715576172e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.562314271926879883e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.538092970848083496e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.682743668556213379e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.073725581169128418e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.845814988017082214e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.270841836929321289e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.466628909111022949e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.499292209744453430e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.440293341875076294e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.277477681636810303e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.078857973217964172e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.578685641288757324e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.811815947294235229e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.048630595207214355e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.430245876312255859e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.300672680139541626e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.175183922052383423e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.814931452274322510e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.762741297483444214e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.588017761707305908e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.956595271825790405e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.077021434903144836e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.117785394191741943e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.895000874996185303e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.557635307312011719e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.891185343265533447e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.719287276268005371e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.759087115526199341e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.298232257366180420e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.920268952846527100e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.744380831718444824e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500832378864288330e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.258968517184257507e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.038637161254882812e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.174990415573120117e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.596577763557434082e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.623091548681259155e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.380064010620117188e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.120131790637969971e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.579736948013305664e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.130824118852615356e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.796437203884124756e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.128622263669967651e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.135392442345619202e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.159231320023536682e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.549206614494323730e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.829052954912185669e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.838035225868225098e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.961968541145324707e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.840987801551818848e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.138304322957992554e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.394682466983795166e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.183151781558990479e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.575044542551040649e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.810942173004150391e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.229683846235275269e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.455187380313873291e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.835226833820343018e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.933459639549255371e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.025581836700439453e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.963993906974792480e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.908585578203201294e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.562883943319320679e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.260003209114074707e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.097569391131401062e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.284629702568054199e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.585049882531166077e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.101956963539123535e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.300072997808456421e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.991379678249359131e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691973209381103516e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.172611057758331299e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.782312572002410889e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.425803422927856445e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.184535264968872070e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.487632572650909424e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.332246840000152588e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.303279757499694824e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.214822337031364441e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.505109071731567383e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.531008332967758179e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.143090724945068359e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.080275095999240875e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.826753795146942139e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.566080451011657715e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.340465724468231201e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.043454408645629883e-01
