# th1, dth1, tau1_cmd, tau1, th2, dth2, tau2_cmd, tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.013025999069213867e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.060632944107055664e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.659139871597290039e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.620406508445739746e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.055738449096679688e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.775192260742187500e-02,-1.336209893226623535e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.929138276726007462e-02,1.975029110908508301e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.288788028061389923e-02,1.612585186958312988e-01
0.000000000000000000e+00,0.000000000000000000e+00,6.713867280632257462e-02,2.067671418190002441e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.714706458151340485e-01,-5.229093432426452637e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.084732130169868469e-01,4.725970029830932617e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.372741773724555969e-01,1.770871430635452271e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.152847364544868469e-01,-9.385774135589599609e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.487587049603462219e-01,6.574380397796630859e-02
0.000000000000000000e+00,0.000000000000000000e+00,4.623413160443305969e-01,-3.695313930511474609e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.388260036706924438e-01,5.605704188346862793e-01
0.000000000000000000e+00,0.000000000000000000e+00,7.711410671472549438e-01,-8.568072319030761719e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.570266872644424438e-01,6.026810407638549805e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.128959670662879944e+00,-5.516883730888366699e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.098728194832801819e+00,2.363838434219360352e+00
6.809234619140625000e-04,6.103516370058059692e-02,1.266670234501361847e+00,-1.046404123306274414e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.123142255470156670e+00,4.769490957260131836e-01
2.929687500000000000e-03,1.525881793349981308e-02,1.310729966498911381e+00,-2.165512323379516602e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.780891448259353638e+00,1.668231606483459473e+00
