# th1, dth1, tau1_cmd, tau1, th2, dth2, tau2_cmd, tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.103718817234039307e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.050617665052413940e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.023359298706054688e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.373683482408523560e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.353457868099212646e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.062910005450248718e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.794761240482330322e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.031352698802947998e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.167232498526573181e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.460832148790359497e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.480354368686676025e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.037121802568435669e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.111585646867752075e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.021024212241172791e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.168846130371093750e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.813292831182479858e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.375368475914001465e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.394960105419158936e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.519373178482055664e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.473215874284505844e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.331196427345275879e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.895693182945251465e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.862223610281944275e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.017825424671173096e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.755866855382919312e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.421863935887813568e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.697843015193939209e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.531575262546539307e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.045921146869659424e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.434386223554611206e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.606251239776611328e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.459950536489486694e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.382625877857208252e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.202554166316986084e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.208210587501525879e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.597689092159271240e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.689239293336868286e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.920122146606445312e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.339347362518310547e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.013472050428390503e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.718568034470081329e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.076079651713371277e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.745576858520507812e-02,-1.716613769531250000e-04,-3.051758185029029846e-02,1.955032534897327423e-01,1.449510902166366577e-01
1.220703125000000000e-04,0.000000000000000000e+00,-1.831054687500000000e-02,-3.703536689281463623e-01,-3.070831298828125000e-04,0.000000000000000000e+00,7.677078247070312500e-02,8.171460032463073730e-02
1.220703125000000000e-04,0.000000000000000000e+00,-1.831054687500000000e-02,3.368572592735290527e-01,-7.953643798828125000e-04,-3.051758185029029846e-02,3.514290042221546173e-01,3.505352437496185303e-01
1.220703125000000000e-04,0.000000000000000000e+00,-1.831054687500000000e-02,-7.333204150199890137e-02,-1.300811767578125000e-03,-1.525878999382257462e-02,4.014968918636441231e-01,4.514262080192565918e-01
1.220703125000000000e-04,0.000000000000000000e+00,-1.831054687500000000e-02,4.156240075826644897e-02,-2.532958984375000000e-03,-6.103516370058059692e-02,9.384155645966529846e-01,9.126175642013549805e-01
2.441406250000000000e-04,0.000000000000000000e+00,-3.662109375000000000e-02,2.530450224876403809e-01,-4.343032836914062500e-03,-1.525879055261611938e-01,1.848697736859321594e+00,1.755849003791809082e+00
-9.346008300781250000e-05,0.000000000000000000e+00,1.401901245117187500e-02,1.371034830808639526e-01,-8.342742919921875000e-03,-2.441406399011611938e-01,3.306388929486274719e+00,3.162169456481933594e+00
-1.855850219726562500e-03,-7.629396021366119385e-02,5.072594135999679565e-01,-3.531693220138549805e-01,-1.413154602050781250e-02,-3.051758110523223877e-01,5.058765560388565063e+00,4.897628307342529297e+00
-4.322052001953125000e-03,-1.525879055261611938e-01,1.106071516871452332e+00,-1.404863715171813965e+00,-2.106094360351562500e-02,-3.051758110523223877e-01,6.791114956140518188e+00,5.964739322662353516e+00
-6.212234497070312500e-03,-4.577638208866119385e-02,1.069164320826530457e+00,-6.475698351860046387e-01,-2.798843383789062500e-02,-3.051758110523223877e-01,8.522987514734268188e+00,8.510634422302246094e+00
-6.319046020507812500e-03,0.000000000000000000e+00,9.478569030761718750e-01,-6.815423369407653809e-01,-3.219795227050781250e-02,-1.373291313648223877e-01,8.736133724451065063e+00,8.478423118591308594e+00
-6.319046020507812500e-03,0.000000000000000000e+00,9.478569030761718750e-01,-6.041979789733886719e-01,-3.317260742187500000e-02,0.000000000000000000e+00,8.293151855468750000e+00,8.229584693908691406e+00
-6.319046020507812500e-03,0.000000000000000000e+00,9.478569030761718750e-01,-1.149352788925170898e+00,-3.184890747070312500e-02,1.220703274011611938e-01,7.351875230669975281e+00,7.386748313903808594e+00
-6.319046020507812500e-03,0.000000000000000000e+00,9.478569030761718750e-01,-1.174102902412414551e+00,-2.837753295898437500e-02,2.288818657398223877e-01,5.949973911046981812e+00,5.905339241027832031e+00
-6.319046020507812500e-03,0.000000000000000000e+00,9.478569030761718750e-01,-8.122332096099853516e-01,-2.495002746582031250e-02,1.525879204273223877e-01,5.474567264318466187e+00,5.570276260375976562e+00
-6.319046020507812500e-03,0.000000000000000000e+00,9.478569030761718750e-01,-3.519458770751953125e-01,-2.322196960449218750e-02,4.577639698982238770e-02,5.576610416173934937e+00,5.672179222106933594e+00
